original,entrez,symbol,kegg
278,ADAM21|8747,8747,ADAM21,hsa8747
279,ADAM21P1|145241,145241,ADAM21P1,hsa145241
280,ADAM2|2515,2515,ADAM2,hsa2515
281,ADAM22|53616,53616,ADAM22,hsa53616
282,ADAM23|8745,8745,ADAM23,hsa8745
283,ADAM28|10863,10863,ADAM28,hsa10863
284,ADAM29|11086,11086,ADAM29,hsa11086
285,ADAM30|11085,11085,ADAM30,hsa11085
286,ADAM32|203102,203102,ADAM32,hsa203102
287,ADAM33|80332,80332,ADAM33,hsa80332
288,ADAM3A|1587,1587,ADAM3A,hsa1587
289,ADAM5P|255926,255926,ADAM5P,hsa255926
290,ADAM6|8755,8755,ADAM6,hsa8755
291,ADAM7|8756,8756,ADAM7,hsa8756
292,ADAM8|101,101,ADAM8,hsa101
293,ADAM9|8754,8754,ADAM9,hsa8754
294,ADAMDEC1|27299,27299,ADAMDEC1,hsa27299
295,ADAMTS10|81794,81794,ADAMTS10,hsa81794
296,ADAMTS12|81792,81792,ADAMTS12,hsa81792
297,ADAMTS13|11093,11093,ADAMTS13,hsa11093
298,ADAMTS14|140766,140766,ADAMTS14,hsa140766
299,ADAMTS15|170689,170689,ADAMTS15,hsa170689
300,ADAMTS16|170690,170690,ADAMTS16,hsa170690
301,ADAMTS17|170691,170691,ADAMTS17,hsa170691
302,ADAMTS18|170692,170692,ADAMTS18,hsa170692
303,ADAMTS19|171019,171019,ADAMTS19,hsa171019
304,ADAMTS1|9510,9510,ADAMTS1,hsa9510
305,ADAMTS20|80070,80070,ADAMTS20,hsa80070
306,ADAMTS2|9509,9509,ADAMTS2,hsa9509
307,ADAMTS3|9508,9508,ADAMTS3,hsa9508
308,ADAMTS4|9507,9507,ADAMTS4,hsa9507
309,ADAMTS5|11096,11096,ADAMTS5,hsa11096
310,ADAMTS6|11174,11174,ADAMTS6,hsa11174
311,ADAMTS7|11173,11173,ADAMTS7,hsa11173
312,ADAMTS8|11095,11095,ADAMTS8,hsa11095
313,ADAMTS9|56999,56999,ADAMTS9,hsa56999
314,ADAMTSL1|92949,92949,ADAMTSL1,hsa92949
315,ADAMTSL2|9719,9719,ADAMTSL2,hsa9719
316,ADAMTSL3|57188,57188,ADAMTSL3,hsa57188
317,ADAMTSL4|54507,54507,ADAMTSL4,hsa54507
318,ADAMTSL5|339366,339366,ADAMTSL5,hsa339366
319,ADAP1|11033,11033,ADAP1,hsa11033
320,ADAP2|55803,55803,ADAP2,hsa55803
321,ADAR|103,103,ADAR,hsa103
322,ADARB1|104,104,ADARB1,hsa104
323,ADARB2|105,105,ADARB2,hsa105
324,ADAT1|23536,23536,ADAT1,hsa23536
325,ADAT2|134637,134637,ADAT2,hsa134637
326,ADAT3|113179,113179,ADAT3,hsa113179
327,ADC|113451,113451,ADC,hsa113451
328,ADCK1|57143,57143,ADCK1,hsa57143
329,ADCK2|90956,90956,ADCK2,hsa90956
330,ADCK4|79934,79934,ADCK4,hsa79934
331,ADCK5|203054,203054,ADCK5,hsa203054
332,ADCY10|55811,55811,ADCY10,hsa55811
333,ADCY1|107,107,ADCY1,hsa107
334,ADCY2|108,108,ADCY2,hsa108
335,ADCY3|109,109,ADCY3,hsa109
336,ADCY4|196883,196883,ADCY4,hsa196883
337,ADCY5|111,111,ADCY5,hsa111
338,ADCY6|112,112,ADCY6,hsa112
339,ADCY7|113,113,ADCY7,hsa113
340,ADCY8|114,114,ADCY8,hsa114
341,ADCY9|115,115,ADCY9,hsa115
342,ADCYAP1|116,116,ADCYAP1,hsa116
343,ADCYAP1R1|117,117,ADCYAP1R1,hsa117
344,ADD1|118,118,ADD1,hsa118
345,ADD2|119,119,ADD2,hsa119
346,ADD3|120,120,ADD3,hsa120
347,ADH1A|124,124,ADH1A,hsa124
348,ADH1B|125,125,ADH1B,hsa125
349,ADH1C|126,126,ADH1C,hsa126
350,ADH4|127,127,ADH4,hsa127
351,ADH5|128,128,ADH5,hsa128
352,ADH6|130,130,ADH6,hsa130
353,ADH7|131,131,ADH7,hsa131
354,ADHFE1|137872,137872,ADHFE1,hsa137872
355,ADI1|55256,55256,ADI1,hsa55256
356,ADIG|149685,149685,ADIG,hsa149685
357,ADIPOQ|9370,9370,ADIPOQ,hsa9370
358,ADIPOR1|51094,51094,ADIPOR1,hsa51094
359,ADIPOR2|79602,79602,ADIPOR2,hsa79602
360,ADK|132,132,ADK,hsa132
361,ADM|133,133,ADM,hsa133
362,ADM2|79924,79924,ADM2,hsa79924
363,ADNP2|22850,22850,ADNP2,hsa22850
364,ADNP|23394,23394,ADNP,hsa23394
365,ADO|84890,84890,ADO,hsa84890
366,ADORA1|134,134,ADORA1,hsa134
367,ADORA2A|135,135,ADORA2A,hsa135
368,ADORA2B|136,136,ADORA2B,hsa136
369,ADORA3|140,140,ADORA3,hsa140
370,ADPGK|83440,83440,ADPGK,hsa83440
371,ADPRH|141,141,ADPRH,hsa141
372,ADPRHL1|113622,113622,ADPRHL1,hsa113622
373,ADPRHL2|54936,54936,ADPRHL2,hsa54936
374,ADRA1A|148,148,ADRA1A,hsa148
375,ADRA1B|147,147,ADRA1B,hsa147
376,ADRA1D|146,146,ADRA1D,hsa146
377,ADRA2A|150,150,ADRA2A,hsa150
378,ADRA2B|151,151,ADRA2B,hsa151
379,ADRA2C|152,152,ADRA2C,hsa152
380,ADRB1|153,153,ADRB1,hsa153
381,ADRB2|154,154,ADRB2,hsa154
382,ADRB3|155,155,ADRB3,hsa155
